continent_name,year,median_gdp_per_capita
Africa,2004,578.6416320800781
Africa,2005,666.5531921386719
Africa,2006,794.9830017089844
Africa,2007,915.4017333984375
Africa,2008,1092.0875854492188
Africa,2009,930.6135864257812
Africa,2010,1053.8926391601562
Africa,2011,1179.382080078125
Africa,2012,1070.6974487304688
Asia,2004,1455.93603515625
Asia,2005,1731.125244140625
Asia,2006,2472.99755859375
Asia,2007,3091.015380859375
Asia,2008,4472.05517578125
Asia,2009,4059.973876953125
Asia,2010,4802.66259765625
Asia,2011,6019.4208984375
Asia,2012,6625.22314453125
Europe,2004,16944.189453125
Europe,2005,17854.634765625
Europe,2006,19177.42578125
Europe,2007,21980.685546875
Europe,2008,21709.91015625
Europe,2009,16196.28125
Europe,2010,13326.505859375
Europe,2011,14434.7021484375
Europe,2012,14037.015625
"North America",2004,5250.552734375
"North America",2005,5492.86474609375
"North America",2006,6072.29736328125
"North America",2007,6655.38818359375
"North America",2008,6801.6533203125
"North America",2009,6778.66015625
"North America",2010,7485.9052734375
"North America",2011,8372.5771484375
"North America",2012,9748.869140625
Oceania,2004,2247.837890625
Oceania,2005,2352.639404296875
Oceania,2006,2502.211181640625
Oceania,2007,2768.4345703125
Oceania,2008,3094.684326171875
Oceania,2009,2763.184326171875
Oceania,2010,3112.840576171875
Oceania,2011,3361.961669921875
Oceania,2012,3619.68994140625
"South America",2004,2880.419677734375
"South America",2005,3491.732666015625
"South America",2006,4455.52783203125
"South America",2007,5208.360595703125
"South America",2008,6130.1416015625
"South America",2009,6283.4892578125
"South America",2010,7250.023193359375
"South America",2011,7692.533447265625
"South America",2012,8562.168212890625
